image,action,reason
beacon_000850.jpg,REMOVED,near_duplicate_of:beacon_000590.jpg
beacon_000856.jpg,REMOVED,near_duplicate_of:beacon_000472.jpg
beacon_000857.jpg,REMOVED,near_duplicate_of:beacon_000610.jpg
beacon_000858.jpg,REMOVED,near_duplicate_of:beacon_000613.jpg
beacon_000860.jpg,REMOVED,near_duplicate_of:beacon_000268.jpg
beacon_000863.jpg,REMOVED,near_duplicate_of:beacon_000754.jpg
beacon_000864.jpg,REMOVED,near_duplicate_of:beacon_000716.jpg
beacon_000865.jpg,REMOVED,near_duplicate_of:beacon_000506.jpg
beacon_000866.jpg,REMOVED,near_duplicate_of:beacon_000839.jpg
beacon_000867.jpg,REMOVED,near_duplicate_of:beacon_000529.jpg
beacon_000868.jpg,REMOVED,near_duplicate_of:beacon_000279.jpg
beacon_000869.jpg,REMOVED,near_duplicate_of:beacon_000274.jpg
beacon_000870.jpg,REMOVED,near_duplicate_of:beacon_000276.jpg
beacon_000871.jpg,REMOVED,near_duplicate_of:beacon_000276.jpg
beacon_000872.jpg,REMOVED,near_duplicate_of:beacon_000275.jpg
beacon_000873.jpg,REMOVED,near_duplicate_of:beacon_000275.jpg
beacon_000874.jpg,REMOVED,near_duplicate_of:beacon_000274.jpg
beacon_000875.jpg,REMOVED,near_duplicate_of:beacon_000274.jpg
beacon_000876.jpg,REMOVED,near_duplicate_of:beacon_000274.jpg
beacon_000877.jpg,REMOVED,near_duplicate_of:beacon_000274.jpg
beacon_000878.jpg,REMOVED,near_duplicate_of:beacon_000506.jpg
beacon_000880.jpg,REMOVED,near_duplicate_of:beacon_000593.jpg
beacon_000881.jpg,REMOVED,near_duplicate_of:beacon_000700.jpg
beacon_000882.jpg,REMOVED,near_duplicate_of:beacon_000701.jpg
beacon_000883.jpg,REMOVED,near_duplicate_of:beacon_000346.jpg
